Name;ShortName;Description;IsMultipleValue;IsBuiltIn;Owner;ContainerType;MeasurementScale;EntitySelectionPredicate;Self;DataType;Unit;Methodology;Constraints;ExtendedProperties;GlobalizationInfos;AggregateFunctions;REMARK
height, width, length, distance;length;SI based length;;;;;ratio, continuous;;;double;m;;;;;;
mass;mass;SI based mass;;;;;ratio, continuous;;;double;kg;;;;;;
time (duration);duration;SI based time;;;;;ratio, continuous;;;double;s;;;;;;
electric current;current;SI based electric current;;;;;interval, continuous;;;double;A;;;;;;
thermodynamic temperature;absolute temperature;SI based thermodynamic temperature;;;;;ratio, continuous;;;double;°K;;;;;;
amount of substance;amount of substance;SI based amount of substance;;;;;ratio, continuous;;;double;mol;;;;;;
luminous intensity;luminous intensity;SI based luminous intensity;;;;;ratio, continuous;;;double;cd;;;;;;
power;power;SI based power;;;;;ratio, continuous;;;double;W;;;;;;W = J/s
energy;energy;SI based energy;;;;;ratio, continuous;;;double;J;;;;;;
katal;katal;SI based catalytic (enzymatic) activity;;;;;interval, continuous;;;double;kat;;;;;;1 kat = 60 * 10^6 U, U = enzymatic activity
frequency;frequency;SI based frequency;;;;;ratio, continuous;;;double;Hz;;;;;;not quantity per time
electric potential difference;voltage;SI based electric potential difference;;;;;ratio, continuous;;;double;V;;;;;;
quantity;quantity;quantity, number, count;;;;;ratio, discrete;;;double;none;;;;;;
quantity, time specified;quantityPerTime;quantity, time specified;;;;;ratio;;;double;1/s;;;;;;
quantity, area specified;quantityPerArea;quantity, area specified;;;;;ratio;;;double;1/m^2;;;;;;
quantity, mass specified;quantityPerMass;quantity, mass specified;;;;;ratio;;;double;1/kg;;;;;;
temerature celsius skaled;temperature;temerature celsius skaled;;;;;interval, continuous;;;double;deg C;;;;;;
velocity;velocity;velocity in meter per second;;;;;ratio, continuous;;;double;m/s;;;;;;
precipitation amount;rain;amount of precipitation;;;;;ratio, continuous;;;double;l/m^2;;;;;;1 l/m² = 1 mm
