Name;Abbreviation;Description;DimensionName;Measurement System;Data Types;used by;conversion to SI;remark
mole;mol;;amount;Metric;double;attribute or variable;1;
mole per square meter and second;mol/(m^2 * s);;amount per area time;Metric;double;attribute or variable;1;
mole per kilogram;mol/kg;;amount per mass;Metric;double;attribute or variable;1;
katal per kilogram;kat/kg;;amount per mass time;Unknown;double;attribute or variable;1;
mole per kilogram and second;mol/(kg*s);;amount per mass time;Metric;double;attribute or variable;1;
katal;kat;;amount per time;Unknown;double;attribute or variable;1;
square meter;m^2;;area;Metric;double;attribute or variable;1;
square meter per kilogram;m^2/kg;;area per mass;Metric;double;attribute or variable;1;
arearatio;m^2/m^2;;area ratio;Unknown;double;attribute or variable;1;
ampere;A;;current;Metric;double;attribute or variable;1;
ampere-hour;Ah;;current time;Metric;double;attribute or variable;(1/36)E-2;
none;none;If no Unit is needed.;dimensionless;Unknown;string integer double bool;attribute or variable;;
percentage;%;;dimensionless;Unknown;double;attribute or variable;;
per mile;%;;dimensionless;Imperial;double;attribute or variable;;
degree;deg;;dimensionless;Unknown;double;attribute or variable;;
arc;arc;;dimensionless;Unknown;string;attribute or variable;;
ph;none (pH);;dimensionless;Unknown;double;attribute or variable;;
beaufort scale;Bft;;dimensionless;Unknown;double;attribute or variable;;
degree by iers;°IERS;;dimensionless;Unknown;string;attribute or variable;;
siemens per meter;S/m;;electrical conductor;Unknown;double;attribute or variable;1;
joule;J;;energy;Unknown;double;attribute or variable;1;
meter;m;;length;Metric;double;attribute or variable;1;
liter per square meter;l/m^2;;volume per area;Metric;double;attribute or variable;1;
cubic meter per square meter;m^3/m^2;;volume per area;Metric;double;attribute or variable;1;
meter per kilogram;m/kg;;length per mass;Metric;double;attribute or variable;1;
meter per second;m/s;;length per time;Metric;double;attribute or variable;1;
liter per square meter and hour;l/(m^2 * h);;length per time;Metric;double;attribute or variable;(1/36)E-5;
candela;cd;;luminous;Metric;double;attribute or variable;1;
kilogram;kg;;mass;Metric;double;attribute or variable;1;
kilogram per square meter;kg/m^2;;mass per area;Metric;double;attribute or variable;1;
joule per square meter;J/m^2;;mass per time 2;Unknown;double;attribute or variable;1;
watt per square meter;W/m^2;;mass per time 3;Unknown;double;attribute or variable;1;
kilogram per cubic meter;kg/m^3;;mass per volume;Metric;double;attribute or variable;1;
mass ratio;kg/kg;;mass ratio;Unknown;double;attribute or variable;1;
ohm;ohm;;electrical resistance;Unknown;double;attribute or variable;1;
pascal;Pa;;pressure;Unknown;double;attribute or variable;1;
per square meter;1/m^2;;per area;Metric;double;attribute or variable;1;
meter per square meter;m/m^2;;per length;Metric;double;attribute or variable;1;
square meter per cubic meter;m^2/m^3;;per length;Metric;double;attribute or variable;1;
per kilogram;1/kg;;per mass;Metric;double;attribute or variable;1;
percent per kilogram;%/kg;;per mass;Metric;double;attribute or variable;;
hertz;Hz;;per time;Unknown;double;attribute or variable;1;
per second;1/s;;per time;Metric;double;attribute or variable;1;
kelvin;°K;;temperature;Metric;double;attribute or variable;1;
degree celsius;deg C;;temperature;Unknown;double;attribute or variable;1;
